RY_External_ID__c,FirstName,LastName,Company,Email,RY_Sample_Status__c
RY-LEAD-01395802,Bongani,Van Wyk,[Individual Applicant],bongani.vanwyk401@gmail.com,Open - Not Contacted
RY-LEAD-00267787,Yusuf,Mthembu,[Individual Applicant],yusuf.mthembu34@outlook.com,Qualified
RY-LEAD-01397722,Nkosinathi,Abrahams,[Individual Applicant],nkosinathiabrahams409@hotmail.com,Nurture
RY-LEAD-00520032,Tshepo,Nyathi,[Individual Applicant],tsheponyathi56@yahoo.com,Working - Contacted
RY-LEAD-00127306,Nokuthula,Van der Merwe,[Individual Applicant],nokuthula.vandermerwe33@yahoo.com,Converted
RY-LEAD-01290269,Nomsa,Dlamini,[Individual Applicant],nomsadlamini323@outlook.com,Open - Not Contacted
RY-LEAD-01400249,Sipho,Govender,[Individual Applicant],sipho.govender563@outlook.com,Open - Not Contacted
RY-LEAD-01106854,Ayanda,Hendricks,[Individual Applicant],ayanda_hendricks33@gmail.com,Open - Not Contacted
RY-LEAD-00060025,nokuthula,Khumalo,[Individual Applicant],nokuthula_khumalo948@gmail.com,Qualified
RY-LEAD-00400711,Tshepo,Williams  ,[Individual Applicant],tshepo.williams87@gmail.com,Open - Not Contacted
RY-LEAD-00246177,Ayanda,Dlamini,[Individual Applicant],ayanda.dlamini116@outlook.com,Converted
RY-LEAD-01193200,Megan,Van der Merwe,[Individual Applicant],megan.vandermerwe155@gmail.com,Converted
RY-LEAD-01319715,Andile,Ndlovu,[Individual Applicant],andilendlovu586@gmail.com,Working - Contacted
RY-LEAD-01122576,Tshepo,Nkosi,[Individual Applicant],tsheponkosi197@gmail.com,Working - Contacted
RY-LEAD-01413289,Dewald,Du Plessis,[Individual Applicant],dewald.duplessis106@outlook.com,Working - Contacted
RY-LEAD-01391824,Zodwa,Daniels,[Individual Applicant],zodwa.daniels172@gmail.com,Nurture
RY-LEAD-01048664,Themba,Khumalo,[Individual Applicant],themba.khumalo324@gmail.com,Unqualified
RY-LEAD-01260866,Busisiwe,MOKOENA,[Individual Applicant],busisiwemokoena155@gmail.com,Converted
RY-LEAD-00495403,Naledi,Daniels  ,[Individual Applicant],naledi_daniels18@gmail.com,Converted
RY-LEAD-00622333,Yusuf,Van Wyk,[Individual Applicant],yusuf_vanwyk21@outlook.com,Unqualified
RY-LEAD-00124014,Sipho,Adams,[Individual Applicant],sipho.adams45@outlook.com,Nurture
RY-LEAD-00214761,SIPHO,Isaacs,[Individual Applicant],sipho.isaacs53@gmail.com,Open - Not Contacted
