Id,Salesforce_Link,FirstName,LastName,Email,AccountId,RY_External_ID__c,CreatedDate
003jX0000008R36QAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008R36QAE/view,Kyle,Govender,kyle.govender1@gmail.com,,RY-CONT-00000476,2026-09-09T12:30:40.000+0000
003jX0000008PVwQAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008PVwQAM/view,Kagiso,Moodley,,,RY-CONT-00001396,2026-09-09T12:31:12.000+0000
003jX0000008Qa9QAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008Qa9QAE/view,Lerato,Khumalo,lerato.khumalo6@outlook.com,,RY-CONT-00001500,2026-09-09T12:35:58.000+0000
003jX0000008QaCQAU,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008QaCQAU/view,Willem,Jansen,willem.jansen6@hotmail.com,001jX000000CdjzQAC,RY-CONT-00003202,2026-09-09T12:39:19.000+0000
003jX0000008NtvQAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008NtvQAE/view,Busisiwe,Zulu,busisiwezulu2@icloud.com,,RY-CONT-00003971,2026-09-09T12:33:55.000+0000
003jX0000008QJvQAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008QJvQAM/view,Elmarie,Adams,elmarie.adams3@gmail.com,,RY-CONT-00004506,2026-09-09T12:29:34.000+0000
003jX0000008Ml1QAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008Ml1QAE/view,Nokuthula,Mahlangu,nokuthula.mahlangu10@outlook.com,001jX000000CdQgQAK,RY-CONT-00004793,2026-09-09T12:38:07.000+0000
003jX0000008OACQA2,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008OACQA2/view,Sibusiso,Petersen,sibusiso.petersen6@gmail.com,,RY-CONT-00005462,2026-09-09T12:38:26.000+0000
003jX0000008MGLQA2,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008MGLQA2/view,Daniel,Fortuin,daniel.fortuin172@telkomsa.net,001jX000000CbS4QAK,RY-CONT-00005835,2026-09-09T12:29:25.000+0000
003jX0000008OI7QAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008OI7QAM/view,Nadia,Dlamini,nadia.dlamini5@gmail.com,,RY-CONT-00006042,2026-09-09T12:27:02.000+0000
003jX0000008QlKQAU,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008QlKQAU/view,Kagiso,Radebe,kagiso.radebe18@gmail.com,,RY-CONT-00009839,2026-09-09T12:27:34.000+0000
003jX0000008LqUQAU,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008LqUQAU/view,Kagiso,Nel,kagiso.nel14@gmail.com,,RY-CONT-00010617,2026-09-09T12:31:03.000+0000
003jX0000008N5yQAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008N5yQAE/view,Daniel,Radebe,danielradebe6@outlook.com,001jX000000Cae2QAC,RY-CONT-00010754,2026-09-09T12:29:30.000+0000
003jX0000008NykQAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008NykQAE/view,Megan,Mthembu,megan.mthembu994@outlook.com,001jX000000Ce89QAC,RY-CONT-00012661,2026-09-09T12:30:16.000+0000
003jX0000008QYUQA2,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008QYUQA2/view,Sarah,Pretorius,sarah.pretorius751@gmail.com,001jX000000Cd2SQAS,RY-CONT-00021323,2026-09-09T12:36:33.000+0000
003jX0000008RFyQAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008RFyQAM/view,Roche,Naidoo,roche.naidoo12@gmail.com,,RY-CONT-00024043,2026-09-09T12:29:46.000+0000
003jX0000008PiuQAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008PiuQAE/view,Katlego,September,katlego_september954@gmail.com,001jX000000Cc1dQAC,RY-CONT-00025265,2026-09-09T12:37:45.000+0000
003jX0000008QbeQAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008QbeQAE/view,Thandiwe,Van Wyk,thandiwevanwyk18@outlook.com,,RY-CONT-00027945,2026-09-09T12:35:24.000+0000
003jX0000008NfTQAU,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008NfTQAU/view,Ashwin,Isaacs,ashwin.isaacs964@gmail.com,,RY-CONT-00030452,2026-09-09T12:33:51.000+0000
003jX0000008P1KQAU,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008P1KQAU/view,Nokuthula,September,,,RY-CONT-00031626,2026-09-09T12:34:16.000+0000
003jX0000008NNiQAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008NNiQAM/view,Nokuthula,Petersen,nokuthula.petersen76@yahoo.com,001jX000000Ce89QAC,RY-CONT-00048810,2026-09-09T12:37:07.000+0000
003jX0000008NHCQA2,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008NHCQA2/view,Priya,DLAMINI,priya.dlamini74@yahoo.com,,RY-CONT-00049021,2026-09-09T12:27:53.000+0000
003jX0000008O8QQAU,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008O8QQAU/view,Naledi,Govender,naledi_govender20@hotmail.com,001jX000000CbrtQAC,RY-CONT-00049105,2026-09-09T12:28:21.000+0000
003jX0000008RO1QAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008RO1QAM/view,Sibusiso,Mahlangu,sibusiso.mahlangu84@gmail.com,,RY-CONT-00050426,2026-09-09T12:29:53.000+0000
003jX0000008QTcQAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008QTcQAM/view,Sipho,Govender,sipho.govender123@vodamail.co.za,001jX000000Cae2QAC,RY-CONT-00057732,2026-09-09T12:38:40.000+0000
003jX0000008RSrQAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008RSrQAM/view,Chantelle,Mokoena,chantelle.mokoena91@gmail.com,001jX000000CdjzQAC,RY-CONT-00063580,2026-09-09T12:30:11.000+0000
003jX0000008PvlQAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008PvlQAE/view,Bongani,Maseko,bongani.maseko154@outlook.com,001jX000000Cd2SQAS,RY-CONT-00070000,2026-09-09T12:34:18.000+0000
003jX0000008NHFQA2,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008NHFQA2/view,Jessica,Steyn,jessica.steyn61@icloud.com,,RY-CONT-00071088,2026-09-09T12:31:42.000+0000
003jX0000008RRFQA2,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008RRFQA2/view,Katlego,Molefe,katlegomolefe75@gmail.com,,RY-CONT-00071333,2026-09-09T12:30:09.000+0000
003jX0000008PKgQAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008PKgQAM/view,Kirsten,Abrahams,kirsten.abrahams421@yahoo.com,,RY-CONT-00072459,2026-09-09T12:34:05.000+0000
003jX0000008QF9QAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008QF9QAM/view,Zanele,Van der Merwe,zanele.vandermerwe655@yahoo.com,001jX000000CdDlQAK,RY-CONT-00080790,2026-09-09T12:29:54.000+0000
003jX0000008MMvQAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008MMvQAM/view,Sibusiso,Mokoena,sibusiso.mokoena197@gmail.com,,RY-CONT-00083179,2026-09-09T12:33:32.000+0000
003jX0000008LFSQA2,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008LFSQA2/view,Hendrik,September,hendrik.september42@gmail.com,001jX000000CYqyQAG,RY-CONT-00083538,2026-09-09T12:27:57.000+0000
003jX0000008LFRQA2,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008LFRQA2/view,Sibusiso,Jansen,sibusisojansen43@gmail.com,001jX000000CaKhQAK,RY-CONT-00084703,2026-09-09T12:27:39.000+0000
003jX0000008MRfQAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008MRfQAM/view,Lwazi,Zulu,lwazi.zulu424@gmail.com,001jX000000CbS4QAK,RY-CONT-00085186,2026-09-09T12:34:03.000+0000
003jX0000008LvOQAU,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008LvOQAU/view,Lindiwe,Mahlangu,lindiwe.mahlangu520@gmail.com,001jX000000Cc6PQAS,RY-CONT-00086886,2026-09-09T12:38:19.000+0000
003jX0000008PhHQAU,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008PhHQAU/view,Tshepo,Zulu,tshepo.zulu179@gmail.com,,RY-CONT-00086926,2026-09-09T12:34:53.000+0000
003jX0000008LSJQA2,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008LSJQA2/view,Tarryn,Van der Merwe,tarryn.vandermerwe78@hotmail.com,,RY-CONT-00087791,2026-09-09T12:28:16.000+0000
003jX0000008O5FQAU,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008O5FQAU/view,Bongani,Van Wyk,bonganivanwyk993@gmail.com,,RY-CONT-00090681,2026-09-09T12:30:36.000+0000
003jX0000008M6gQAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008M6gQAE/view,Zodwa,Dlamini,zodwa.dlamini450@hotmail.com,,RY-CONT-00098900,2026-09-09T12:31:23.000+0000
003jX0000008RPdQAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008RPdQAM/view,Sibusiso,Khumalo,sibusiso_khumalo56@icloud.com,,RY-CONT-00108936,2026-09-09T12:30:04.000+0000
003jX0000008N5zQAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008N5zQAE/view,Kyle,Dlamini,kyle.dlamini125@outlook.com,001jX000000CaEIQA0,RY-CONT-00111548,2026-09-09T12:29:36.000+0000
003jX0000008PR8QAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008PR8QAM/view,Priya,Smith,priya.smith85@hotmail.com,001jX000000Cc1dQAC,RY-CONT-00116894,2026-09-09T12:30:55.000+0000
003jX0000008OutQAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008OutQAE/view,Ashwin,Radebe,ashwin.radebe63@outlook.com,,RY-CONT-00117453,2026-09-09T12:33:09.000+0000
003jX0000008ON4QAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008ON4QAM/view,Refilwe,Moodley,refilwe.moodley142@gmail.com,,RY-CONT-00119031,2026-09-09T12:36:24.000+0000
003jX0000008NHHQA2,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008NHHQA2/view,Zanele,Mahlangu,zanele.mahlangu631@gmail.com,,RY-CONT-00123989,2026-09-09T12:38:43.000+0000
003jX0000008Oi4QAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008Oi4QAE/view,Pieter,Daniels,pieterdaniels56@mweb.co.za,,RY-CONT-00128301,2026-09-09T12:38:15.000+0000
003jX0000008QYTQA2,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008QYTQA2/view,sipho,Botha,sipho.botha355@outlook.com,,RY-CONT-00129678,2026-09-09T12:36:26.000+0000
003jX0000008MwFQAU,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008MwFQAU/view,Zaid,Ndlovu,zaid.ndlovu121@hotmail.com,,RY-CONT-00130417,2026-09-09T12:31:34.000+0000
003jX0000008R35QAE,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008R35QAE/view,Tshepo,Jacobs,tshepo.jacobs188@outlook.com,,RY-CONT-00133241,2026-09-09T12:30:02.000+0000
003jX0000008RJEQA2,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008RJEQA2/view,Naledi,Mokoena,naledi_mokoena52@hotmail.com,001jX000000CYlvQAG,RY-CONT-00133650,2026-09-09T12:38:24.000+0000
003jX0000008QN8QAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008QN8QAM/view,Zanele,Nkosi,zanele.nkosi507@mweb.co.za,001jX000000CdX4QAK,RY-CONT-00135102,2026-09-09T12:33:07.000+0000
003jX0000008RMRQA2,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008RMRQA2/view,Riaan,NDLOVU,riaan_ndlovu26@gmail.com,,RY-CONT-00135843,2026-09-09T12:33:37.000+0000
003jX0000008NNhQAM,https://business-data-62022.lightning.force.com/lightning/r/Contact/003jX0000008NNhQAM/view,Yusuf,Adams,yusuf_adams9351@gmail.com,001jX000000CZN2QAO,RY-CONT-00136354,2026-09-09T12:36:51.000+0000
