RY_External_ID__c,FirstName,LastName,Email,Phone,MailingCity,MailingCountry,Account_Key
RYSCALE-CON-000000001,David,Ndlovu,customer000000001@example.com,+27 00 0000001,Johannesburg,South Africa,RYSCALE-ACC-000000001
RYSCALE-CON-000000002,Kabelo,Botha,customer000000002@example.com,+27 00 0000002,Durban,South Africa,RYSCALE-ACC-000000002
RYSCALE-CON-000000003,Karabo,Mokoena,customer000000003@example.com,+27 00 0000003,Pretoria,South Africa,RYSCALE-ACC-000000003
RYSCALE-CON-000000004,Naledi,Maseko,customer000000004@example.com,+27 00 0000004,Gqeberha,South Africa,RYSCALE-ACC-000000004
RYSCALE-CON-000000005,Siyanda,Molefe,customer000000005@example.com,+27 00 0000005,Bloemfontein,South Africa,RYSCALE-ACC-000000005
RYSCALE-CON-000000006,Amina,Patel,customer000000006@example.com,+27 00 0000006,Polokwane,South Africa,RYSCALE-ACC-000000006
RYSCALE-CON-000000007,Thabo,Smith,customer000000007@example.com,+27-00-0000007,Kimberley,South Africa,RYSCALE-ACC-000000007
RYSCALE-CON-000000008,Lwazi,Khumalo,customer000000008@example.com,+27 00 0000008,Cape Town,South Africa,RYSCALE-ACC-000000008
RYSCALE-CON-000000009,Emma,Nkosi,customer000000009@example.com,+27 00 0000009,Johannesburg,ZA,RYSCALE-ACC-000000009
RYSCALE-CON-000000010,Chloe,Hassan,customer000000010@example.com,+27 00 0000010,Durban,South Africa,RYSCALE-ACC-000000010
RYSCALE-CON-000000011,Zanele,Williams,customer000000011@example.com,,Pretoria,South Africa,RYSCALE-ACC-000000011
RYSCALE-CON-000000012,Nomsa,Jacobs,customer000000012@example.com,+27 00 0000012,Gqeberha,South Africa,RYSCALE-ACC-000000012
RYSCALE-CON-000000013, daniel ,Adams,customer000000013@example.com,+27 00 0000013,Bloemfontein,South Africa,RYSCALE-ACC-000000013
RYSCALE-CON-000000014,Ayesha,Petersen,customer000000014@example.com,+27-00-0000014,Polokwane,South Africa,RYSCALE-ACC-000000014
RYSCALE-CON-000000015,Priya,Naidoo,customer000000015@example.com,+27 00 0000015,Kimberley,South Africa,RYSCALE-ACC-000000015
RYSCALE-CON-000000016,Nandi,Dlamini,customer000000016@example.com,+27 00 0000016,Cape Town,South Africa,RYSCALE-ACC-000000016
RYSCALE-CON-000000017,Ravi,Ndlovu,,+27 00 0000017,Johannesburg,South Africa,RYSCALE-ACC-000000017
RYSCALE-CON-000000018,Fatima,Botha,customer000000018@example.com,+27 00 0000018,Durban,ZA,RYSCALE-ACC-000000018
RYSCALE-CON-000000019,Imran,Mokoena,CUSTOMER000000019@EXAMPLE.COM,+27 00 0000019,Pretoria,South Africa,RYSCALE-ACC-000000019
RYSCALE-CON-000000020,Buhle,Maseko,customer000000020@example.com,+27 00 0000020,Gqeberha,South Africa,RYSCALE-ACC-000000020
RYSCALE-CON-000000021,Sipho,Molefe,customer000000021@example.com,+27-00-0000021,Bloemfontein,South Africa,RYSCALE-ACC-000000021
RYSCALE-CON-000000022,Mpho,Patel,customer000000022@example.com,,Polokwane,South Africa,RYSCALE-ACC-000000022
RYSCALE-CON-000000023,Sizwe,SMITH,customer000000023@example.com,+27 00 0000023,Kimberley,South Africa,RYSCALE-ACC-000000023
RYSCALE-CON-000000024,Lerato,Khumalo,customer000000024@example.com,+27 00 0000024,Cape Town,South Africa,RYSCALE-ACC-000000024
RYSCALE-CON-000000025,David,Nkosi,customer000000025@example.com,+27 00 0000025,Johannesburg,South Africa,RYSCALE-ACC-000000025
RYSCALE-CON-000000026, kabelo ,Hassan,customer000000026@example.com,+27 00 0000026,Durban,South Africa,RYSCALE-ACC-000000026
RYSCALE-CON-000000027,Karabo,Williams,customer000000027@example.com,+27 00 0000027,Pretoria,ZA,RYSCALE-ACC-000000027
RYSCALE-CON-000000028,Naledi,Jacobs,customer000000028@example.com,+27-00-0000028,Gqeberha,South Africa,RYSCALE-ACC-000000028
RYSCALE-CON-000000029,Siyanda,Adams,customer000000029@example.com,+27 00 0000029,BLOEMFONTEIN ,South Africa,RYSCALE-ACC-000000029
RYSCALE-CON-000000030,Amina,Petersen,customer000000030@example.com,+27 00 0000030,Polokwane,South Africa,RYSCALE-ACC-000000030
RYSCALE-CON-000000031,Thabo,Naidoo,customer000000031.typo@example.com,+27 00 0000031,Kimberley,South Africa,RYSCALE-ACC-000000031
RYSCALE-CON-000000032,Lwazi,Dlamini,customer000000032@example.com,+27 00 0000032,Cape Town,South Africa,RYSCALE-ACC-000000032
RYSCALE-CON-000000033,Emma,Ndlovu,customer000000033@example.com,,Johannesburg,South Africa,RYSCALE-ACC-000000033
RYSCALE-CON-000000034,Chloe,Botha,,+27 00 0000034,Durban,South Africa,RYSCALE-ACC-000000034
RYSCALE-CON-000000035,Zanele,Mokoena,customer000000035@example.com,+27-00-0000035,Pretoria,South Africa,RYSCALE-ACC-000000035
RYSCALE-CON-000000036,Nomsa,Maseko,customer000000036@example.com,+27 00 0000036,Gqeberha,ZA,RYSCALE-ACC-000000036
RYSCALE-CON-000000037,Daniel,Molefe,customer000000037@example.com,+27 00 0000037,Bloemfontein,South Africa,RYSCALE-ACC-000000037
RYSCALE-CON-000000038,Ayesha,Patel,CUSTOMER000000038@EXAMPLE.COM,+27 00 0000038,Polokwane,South Africa,RYSCALE-ACC-000000038
RYSCALE-CON-000000039, priya ,Smith,customer000000039@example.com,+27 00 0000039,Kimberley,South Africa,RYSCALE-ACC-000000039
RYSCALE-CON-000000040,Nandi,Khumalo,customer000000040@example.com,+27 00 0000040,Cape Town,South Africa,RYSCALE-ACC-000000040
RYSCALE-CON-000000041,Ravi,Nkosi,customer000000041@example.com,+27 00 0000041,Johannesburg,South Africa,RYSCALE-ACC-000000041
RYSCALE-CON-000000042,Fatima,Hassan,customer000000042@example.com,+27-00-0000042,Durban,South Africa,RYSCALE-ACC-000000042
RYSCALE-CON-000000043,Imran,Williams,customer000000043@example.com,+27 00 0000043,Pretoria,South Africa,RYSCALE-ACC-000000043
RYSCALE-CON-000000044,Buhle,Jacobs,customer000000044@example.com,,Gqeberha,South Africa,RYSCALE-ACC-000000044
RYSCALE-CON-000000045,Sipho,Adams,customer000000045@example.com,+27 00 0000045,Bloemfontein,ZA,RYSCALE-ACC-000000045
RYSCALE-CON-000000046,Mpho,PETERSEN,customer000000046@example.com,+27 00 0000046,Polokwane,South Africa,RYSCALE-ACC-000000046
RYSCALE-CON-000000047,Sizwe,Naidoo,customer000000047@example.com,+27 00 0000047,Kimberley,South Africa,RYSCALE-ACC-000000047
RYSCALE-CON-000000048,Lerato,Dlamini,customer000000048@example.com,+27 00 0000048,Cape Town,South Africa,RYSCALE-ACC-000000048
RYSCALE-CON-000000049,David,Ndlovu,customer000000049@example.com,+27-00-0000049,Johannesburg,South Africa,RYSCALE-ACC-000000049
