RY_External_ID__c,FirstName,LastName,Company,Email,Phone,City,Country,RY_Sample_Status__c
RYSCALE-LEAD-000000001,David,Ndlovu,DEMO Individual Applicant,prospect000000001@example.com,+27 00 0000001,Johannesburg,South Africa,New enquiry
RYSCALE-LEAD-000000002,Kabelo,Botha,DEMO Individual Applicant,prospect000000002@example.com,+27 00 0000002,Durban,South Africa,New enquiry
RYSCALE-LEAD-000000003,Karabo,Mokoena,DEMO Individual Applicant,prospect000000003@example.com,+27 00 0000003,Pretoria,South Africa,New enquiry
RYSCALE-LEAD-000000004,Naledi,Maseko,DEMO Individual Applicant,prospect000000004@example.com,+27 00 0000004,Gqeberha,South Africa,New enquiry
RYSCALE-LEAD-000000005,Zanele,Mokoena,DEMO Individual Applicant,customer000000035@example.com,+27 00 0000005,Bloemfontein,South Africa,New enquiry
RYSCALE-LEAD-000000006,Amina,Patel,DEMO Individual Applicant,prospect000000006@example.com,+27 00 0000006,Polokwane,South Africa,New enquiry
RYSCALE-LEAD-000000007,Thabo,Smith,DEMO Individual Applicant,prospect000000007@example.com,+27-00-0000007,Kimberley,South Africa,new enqurey 
RYSCALE-LEAD-000000008,Lwazi,Khumalo,DEMO Individual Applicant,prospect000000008@example.com,+27 00 0000008,Cape Town,South Africa,New enquiry
RYSCALE-LEAD-000000009,Emma,Nkosi,DEMO Individual Applicant,prospect000000009@example.com,+27 00 0000009,Johannesburg,ZA,New enquiry
RYSCALE-LEAD-000000010,Mpho,Patel,DEMO Individual Applicant,customer000000070@example.com,+27 00 0000010,Durban,South Africa,New enquiry
RYSCALE-LEAD-000000011,Zanele,Williams,DEMO Individual Applicant,prospect000000011@example.com,,Pretoria,South Africa,New enquiry
RYSCALE-LEAD-000000012,Nomsa,Jacobs,DEMO Individual Applicant,prospect000000012@example.com,+27 00 0000012,Gqeberha,South Africa,New enquiry
RYSCALE-LEAD-000000013, daniel ,Adams,DEMO Individual Applicant,prospect000000013@example.com,+27 00 0000013,Bloemfontein,South Africa,New enquiry
RYSCALE-LEAD-000000014,Ayesha,Petersen,DEMO Individual Applicant,prospect000000014@example.com,+27-00-0000014,Polokwane,South Africa,new enqurey 
RYSCALE-LEAD-000000015,Emma,Nkosi,DEMO Individual Applicant,customer000000105@example.com,+27 00 0000015,Kimberley,South Africa,New enquiry
RYSCALE-LEAD-000000016,Nandi,Dlamini,DEMO Individual Applicant,prospect000000016@example.com,+27 00 0000016,Cape Town,South Africa,New enquiry
RYSCALE-LEAD-000000017,Ravi,Ndlovu,DEMO Individual Applicant,,+27 00 0000017,Johannesburg,South Africa,New enquiry
RYSCALE-LEAD-000000018,Fatima,Botha,DEMO Individual Applicant,prospect000000018@example.com,+27 00 0000018,Durban,ZA,New enquiry
RYSCALE-LEAD-000000019,Imran,Mokoena,DEMO Individual Applicant,PROSPECT000000019@EXAMPLE.COM,+27 00 0000019,Pretoria,South Africa,New enquiry
RYSCALE-LEAD-000000020,Buhle,Jacobs,DEMO Individual Applicant,customer000000140@example.com,+27 00 0000020,Gqeberha,South Africa,New enquiry
RYSCALE-LEAD-000000021,Sipho,Molefe,DEMO Individual Applicant,prospect000000021@example.com,+27-00-0000021,Bloemfontein,South Africa,new enqurey 
RYSCALE-LEAD-000000022,Mpho,Patel,DEMO Individual Applicant,prospect000000022@example.com,,Polokwane,South Africa,New enquiry
RYSCALE-LEAD-000000023,Sizwe,SMITH,DEMO Individual Applicant,prospect000000023@example.com,+27 00 0000023,Kimberley,South Africa,New enquiry
RYSCALE-LEAD-000000024,Lerato,Khumalo,DEMO Individual Applicant,prospect000000024@example.com,+27 00 0000024,Cape Town,South Africa,New enquiry
RYSCALE-LEAD-000000025,Thabo,Naidoo,DEMO Individual Applicant,customer000000175@example.com,+27 00 0000025,Johannesburg,South Africa,New enquiry
